itemName,date,price1,price10,price100
Magik Riktus Big Top Key,13-07-2022,2997,8388,
Magikrab Animal Legend,13-07-2022,864991,,
Magnesite,13-07-2022,1048,6981,70000
Mahaquany Wood,13-07-2022,749,7481,59716
Mahlibuh Bulb,13-07-2022,82,1199,10860
Mahlibuh Coral,13-07-2022,115,1446,14999
Mahlibuh Petal,13-07-2022,45,707,13874
Maho Snowfoux Leather,13-07-2022,2500,27872,279990
Maho Snowfoux Wool,13-07-2022,418,4488,28396
Major Arachnee Leg,13-07-2022,70,1299,16824
Major Behelit,13-07-2022,19434,,
Major Boble,13-07-2022,759894,,
Major Dagob,13-07-2022,1278947,,
Major Domo,13-07-2022,127995,,
Major Dynamo,13-07-2022,243992,,
Major Horiz,13-07-2022,126999,,
Major Hulhu,13-07-2022,284971,,
Major Kyoub,13-07-2022,234496,,
Major Nyoro,13-07-2022,85997,,
Major Oaf,13-07-2022,199990,,
Major Payo,13-07-2022,178099,,
Major Petunia,13-07-2022,109998,,
Major Pikmi,13-07-2022,228992,,
Major Rocha,13-07-2022,478693,,
Major Sak,13-07-2022,849983,,
Major Teleb,13-07-2022,998961,,
Major Yosh,13-07-2022,199998,,
Major Zaihn,13-07-2022,679989,,
Malalfa Lucky Charm,13-07-2022,189,1998,19999
Malephisto Shoulder,13-07-2022,36997,374997,
Malician Badge,13-07-2022,24000,240000,
Malitiamen Insignia,13-07-2022,8490,69898,659995
Malt,13-07-2022,550,709,1987
Malter Petal,13-07-2022,2998,59963,400000
Malterbarb Barb,13-07-2022,76,1095,9999
Maltrio Bola,13-07-2022,487,6393,63929
Malwood Horn,13-07-2022,498,5092,58990
Malzerb Sprout,13-07-2022,140,1657,19998
Mama Bwork Boil,13-07-2022,6400,65197,
Mama Bwork Leather Thon,13-07-2022,497,,
Mama Koalak Bone,13-07-2022,997,20000,
Mama Pingwin Down,13-07-2022,339,3890,19990
Mama Pingwin Ol,13-07-2022,3369,19998,
Manderisha Eye,13-07-2022,287,4786,
Manderisha Skin,13-07-2022,643,6507,347799
Mandrake,13-07-2022,499,4997,10492
Mandrakueso,13-07-2022,25554,,
Mane in Bloom,13-07-2022,819,9500,97656
Manganese,13-07-2022,598,2450,17704
Mantaze Tail,13-07-2022,6865,,
Mantiscore Carapace,13-07-2022,3443,32221,
Mantiscore Essence,13-07-2022,29985,300000,
Mantiscore Heart,13-07-2022,9648,,
Maple Sap,13-07-2022,7902,,
Maple Wood,13-07-2022,86,982,2867
Marbled Meat,13-07-2022,999,6895,41974
Margedelweiss,13-07-2022,8899,,
Marine Conch,13-07-2022,175,3990,
Mastaklyr's Disarmed Trap,13-07-2022,16587,169998,1928809
Mastifang Paw,13-07-2022,290,2797,
Mastigator's Egg,13-07-2022,332328,,
Mastodon Bone,13-07-2022,789,,
Mastodon Cemetery Key,13-07-2022,2452,23998,190000
Mastodon Flute,13-07-2022,4995,35599,
Mastogob Clavicle,13-07-2022,49,1479,14964
Mastogob Warrior Eye,13-07-2022,580,7835,83733
Mastogob Warrior Horn,13-07-2022,65,1370,9889
Mastogob Wool,13-07-2022,369,3000,21797
Mastogobbly Ear,13-07-2022,60,700,6875
Mastogobbly Leather,13-07-2022,198,5584,44989
Mature Ashes,13-07-2022,,,399999
Mature Mud,13-07-2022,7681,69998,
Mature Powder,13-07-2022,,,349999
Mature Puddle,13-07-2022,5597,,499999
Mature Smoke,13-07-2022,,,299999
Mauve Prysmaradite,13-07-2022,37793,346995,
Mawabouwaino Chip,13-07-2022,40,380,4999
Mecanofoux Astragalus,13-07-2022,498,7499,74799
Mecanofoux Ear,13-07-2022,6499,42200,
Medicinal Stone,13-07-2022,440,5798,
Mega Legendary Crackler ...,13-07-2022,1799,,
Megacrackler Megastone,13-07-2022,118,1399,8843
Mellifluous Bearbarian Cz ...,13-07-2022,2000,31000,320000
Mellifluous Bearbarian Tail,13-07-2022,1899,18794,189600
Melouse Eye,13-07-2022,1600,17399,177777
Memory Potion,13-07-2022,290,2597,16500
Meno's Hair,13-07-2022,15957,141550,
Merdiodon Spine,13-07-2022,13732,137897,
Merkator Essence,13-07-2022,179994,,
Merkator's Aquadome Key,13-07-2022,5888,63332,700000
Merkator's Beard,13-07-2022,7777,77969,
Merkator's Heart,13-07-2022,10900,144997,
Metaria Sphere,13-07-2022,101,1200,12000
Midnight Carrion,13-07-2022,16794,,
Midnight Meat,13-07-2022,1199,16497,169996
Miliboowolf Hair,13-07-2022,85,1295,12497
Miliboowolf Scalp,13-07-2022,30,593,6378
Milipraline Hair,13-07-2022,2895,34878,
Millet,13-07-2022,997,2895,13127
Millet Nial,13-07-2022,14512,,
Millimaster Scarf,13-07-2022,130,1765,19702
Mimicasket Tongue,13-07-2022,12,400,4400
Mineral Carrion,13-07-2022,2199,,
Mineral Meat,13-07-2022,470,888,9900
Mineral Potion,13-07-2022,4800,50976,444999
Miniature Sandglass,13-07-2022,74,600,21996
Minokid Hair,13-07-2022,500,4621,44900
Minokid Horn,13-07-2022,398,4470,55996
Minor Behelit,13-07-2022,12987,,
Minor Boble,13-07-2022,1995,9999,124000
Minor Dagob,13-07-2022,54498,,
Minor Domo,13-07-2022,2700,21111,
Minor Dynamo,13-07-2022,15,10,97
Minor Horiz,13-07-2022,20000,,
Minor Hulhu,13-07-2022,5500,79999,
Minor Nyoro,13-07-2022,1798,3000,
Minor Oaf,13-07-2022,19600,,
Minor Petunia,13-07-2022,2490,5000,
Minor Pikmi,13-07-2022,790,,
Minor Rocha,13-07-2022,5899,,
Minor Teleb,13-07-2022,20000,,
Minor Yosh,13-07-2022,9000,,
Minor Zaihn,13-07-2022,19992,,
Minoskito Proboscis,13-07-2022,1229,12994,129996
Minoskito Skin,13-07-2022,1095,11944,178994
Minotoror Essence,13-07-2022,16666,,
Minotoror Femur,13-07-2022,300,9999,
Minotoror Hair,13-07-2022,52,598,
Minotoror Hoof,13-07-2022,500,9000,
Minotoror Leather,13-07-2022,1109,31499,
Minotoror Tail,13-07-2022,1699,20000,
Minotoror Wool,13-07-2022,388,789,14999
Minotot Essence,13-07-2022,64444,,
Minotot Ethmoid,13-07-2022,5893,40339,
Minotot Femur,13-07-2022,3000,,
Minotot Hoof,13-07-2022,2949,46698,
Minotot Horn,13-07-2022,2999,,
Minotot Leather,13-07-2022,2220,42999,799999
Minotot Room Key,13-07-2022,9999,,
Minotot Wool,13-07-2022,2994,44798,
Mint Jelly,13-07-2022,64,594,7836
Miremop Double Chin,13-07-2022,3893,38899,324986
Miremop Tooth,13-07-2022,68,1497,16439
Misery's Feather,13-07-2022,34999,350922,
Missiz Freezz Essence,13-07-2022,196665,,
Missiz Freezz's Armpit Hair,13-07-2022,9500,97999,
Missiz Freezz's Frostforge ...,13-07-2022,39999,258933,
Missiz Freezz's Underpants,13-07-2022,44500,,
Mofette Stone,13-07-2022,3300,33984,449997
Mofette Tuff,13-07-2022,298,3934,37599
Mojeeto Bulb,13-07-2022,108,1345,13395
Mojeeto Coral,13-07-2022,52,1395,7595
Mojeeto Petal,13-07-2022,20,839,3753
Mol Usk Slobber,13-07-2022,7875,99990,
Monkfish,13-07-2022,,1000,4970
Moon Essence,13-07-2022,7918,,
Moon Hair,13-07-2022,552,2599,38799
Moon Island Ticket,13-07-2022,32,,
Moon Skin,13-07-2022,443,699,14886
Moon's Tree Key,13-07-2022,7698,,
Moopet Fabric,13-07-2022,9343,148990,
Moopet Stuffing,13-07-2022,1142,17938,158992
Mooring Ball,13-07-2022,15988,,
Moowolf Essence,13-07-2022,8878,99999,
Moowolf Eye,13-07-2022,147,12999,
Moowolf Lair Key,13-07-2022,2998,31099,
Moowolf Magic Testicles,13-07-2022,466,,
Moowolf Mojo,13-07-2022,833,9000,
Moowolf Scalp,13-07-2022,368,3791,133399
Moowolf Teeth,13-07-2022,3994,65000,
Mopy King Fabric,13-07-2022,37954,399998,
Mopy King Inside Out Short:,13-07-2022,20899,229921,
Morello Cherry Blop Flower,13-07-2022,396,2789,31993
Morello Cherry Key Fragr ...,13-07-2022,1200,,
Morello Cherry Koalak Hair,13-07-2022,425,6828,
Morongrel Ear,13-07-2022,584,9889,98997
Morongrel Leg,13-07-2022,473,5000,33331
Moskito Eyebrows,13-07-2022,113,1578,12495
Moskito Wings,13-07-2022,379,3498,35288
Mother of Pearl,13-07-2022,6294,48699,499999
Mouse Hair,13-07-2022,175,4490,
Muddy Mushd Heart,13-07-2022,275,2879,34998
Mufafah Moustache,13-07-2022,717,7440,74984
Mumminotor Bandage,13-07-2022,25,1969,29799
Mumminotor Horn,13-07-2022,500,4991,49999
Mumussel,13-07-2022,3223,,
Mumussel Lining,13-07-2022,86,1223,14442
Mumystic Garnet,13-07-2022,1398,14767,139900
Muscle-Bound Beverage |...,13-07-2022,190000,,
Mush Mish Eye,13-07-2022,3090,37900,
Mush Mush Sporm,13-07-2022,84,1478,14999
Mush Mush Thorn,13-07-2022,149,971,9892
Mush Rhume Slobber,13-07-2022,3998,74998,
Mush Tup's Blade,13-07-2022,10947,139999,
Mushd Hand,13-07-2022,44,1190,10913
Mushd Mud,13-07-2022,209,1799,14781
Mushmunch Tongue,13-07-2022,18481,184499,
Mushnid Bark,13-07-2022,3998,54996,
Mushroom,13-07-2022,39,188,12089
Muta,13-07-2022,38975,350000,
Mutant Tofu Tooth,13-07-2022,48,828,2946
Mutilated Bear,13-07-2022,50,580,
Mutilated Makroute,13-07-2022,1999,10973,169993
Mysterious Fabric,13-07-2022,23885,202839,
N'yalgy Tentacle,13-07-2022,498,9290,
Nagate Essence,13-07-2022,16986,,
Nagate's Rubber Quaquack,13-07-2022,10980,95118,
Nahuatl,13-07-2022,1700000,,
Necrotick Chitin,13-07-2022,8999,62444,620000
Nekineko,13-07-2022,295999,,
Nelween Down,13-07-2022,802,4984,78997
Nelween Essence,13-07-2022,9798,89995,
Nemroz Bone,13-07-2022,569,9900,
Nenufrog Tongue,13-07-2022,10,98,
Nephilady Silk,13-07-2022,1985,34998,
Nessil Molar,13-07-2022,5400,56599,
Nessil Slobber,13-07-2022,1000,10994,107998
Nettle Hyroid,13-07-2022,2493,,
Nettles,13-07-2022,,300,
New Bolt,13-07-2022,88950,,
Nibbled Nugget,13-07-2022,1799,18000,
Nightcrawling Brockhard ...,13-07-2022,495,4980,99993
Nightcrawling Brockhard ...,13-07-2022,1950,25000,
Nileza Essence,13-07-2022,198728,1700000,
Nileza's Buttonhole,13-07-2022,31999,,
Nileza's Embroidery,13-07-2022,15990,107000,
Nileza's Laboratory Key,13-07-2022,13395,200000,
Nocturnowl! Spike,13-07-2022,29771,319935,
Nocturnow! Wing,13-07-2022,4099,43328,433331
Nosee Headband,13-07-2022,7178,74982,885123
Nougat Rabmajoke #1,13-07-2022,799,,
Nougat Rabmajoke #3,13-07-2022,960,,
Nougat Rabmajoke #4,13-07-2022,1580,,
Nougat Rabmajoke #5,13-07-2022,979,,
Nougat Rabmajoke #6,13-07-2022,980,,
Nougat Rabmajoke #7,13-07-2022,997,,
Nougat Rabmajoke #8,13-07-2022,990,,
Novice Ashes,13-07-2022,2498,28998,299999
Novice Mud,13-07-2022,2999,39993,399999
Novice Powder,13-07-2022,19850,210000,
Novice Puddle,13-07-2022,597,13496,139999
Novice Smoke,13-07-2022,7992,64990,
Nowaine Jelly,13-07-2022,4,2,
Noxious Fish Juice,13-07-2022,11111111,,
Nugget,13-07-2022,170,1799,11979
Nyan,13-07-2022,118990,,
Nyoro,13-07-2022,18993,,
Oaf,13-07-2022,14594,,
Oak Sap,13-07-2022,9985,,
Oak Wood,13-07-2022,497,1198,7798
QOats,13-07-2022,,444,
Obscurati Symbol,13-07-2022,19948,118995,
Obscure Shard,13-07-2022,410,9490,
Obsidemon Essence,13-07-2022,119651,,
Obsidemon Slag,13-07-2022,7489,56998,
Obsidemon Vertebra,13-07-2022,6996,,
Obsidemon's Hypogeum ...,13-07-2022,26986,275000,
Obsidian,13-07-2022,6899,28998,88886
Octodoll Ink,13-07-2022,1999,17826,
Offering to Celestial Spirits,13-07-2022,7989,99097,
Oilbow Grease,13-07-2022,1994,19996,
Oktapodas Ink,13-07-2022,79,919,10896
Old Dreggon Bone,13-07-2022,2799,17776,
Old Hammer Head,13-07-2022,49995,,
Old Kralove Sucker,13-07-2022,395,3995,61897
Old Partition Sheet Music,13-07-2022,342,,24000
Oliviolet Sap,13-07-2022,11999,,
Oliviolet Wood,13-07-2022,190,500,1993
Onabu-Geisha Flower,13-07-2022,1295,13889,199988
Oni Leather,13-07-2022,279976,,
Onion,13-07-2022,,636,3838
Oogie Betty's Braces,13-07-2022,3354,38900,
Oozing Meat,13-07-2022,599,5999,49999
Open-Market Shark,13-07-2022,42500,,
Orange Larva Skin,13-07-2022,36,880,15991
Orange Rabmajoke #1,13-07-2022,399,5000,
Orange Rabmajoke #2,13-07-2022,189,,
Orange Rabmajoke #3,13-07-2022,3765,,
Orange Rabmajoke #4,13-07-2022,460,,
Orange Rabmajoke #5,13-07-2022,280,,
Orange Rabmajoke #6,13-07-2022,480,,
Orange Rabmajoke #7,13-07-2022,1959,,
Orange Rabmajoke #8,13-07-2022,419,,
Orfan Buckle,13-07-2022,1489,15399,
Orfan Mane,13-07-2022,440,4399,79677
Otomai's Ark Key,13-07-2022,80,896,
QOuassingue Fabric,13-07-2022,248,8885,88989
Ouassingue Hide,13-07-2022,215,5499,54573
Ouassingue Juice,13-07-2022,198,4597,58856
Ouassingue Slobber,13-07-2022,8,79,2792
QOuassingue Stomach,13-07-2022,50,1072,28731
Ougaa,13-07-2022,84998,,
Ougaa Essence,13-07-2022,199988,,
Ougaa Eye,13-07-2022,79999,139999,
Ougaa Spine,13-07-2022,1446,5299,
Ougaat Fragment,13-07-2022,4999,,
Ouginak Chain,13-07-2022,350,3664,26665
Ouginak Hair,13-07-2022,300,2890,12800
Ourobubble Scales,13-07-2022,479,4995,64443
Packrat Eye,13-07-2022,475,4928,58797
Pair of Cross Strich Balls,13-07-2022,,9490,
Palm Fruits,13-07-2022,179,1799,20000
Palm Qil,13-07-2022,69,99,
Pampastuc G-String,13-07-2022,1780,17897,
Pandala Haiku: Aerdala,13-07-2022,139998,,
Pandala Haiku: Akwadala,13-07-2022,798945,,
Pandala Haiku: Feudala,13-07-2022,89986,,
Pandala Haiku: Forbidde:!...,13-07-2022,130000,,
Pandala Haiku: Nolifis,13-07-2022,388871,,
Pandala Haiku: Plantala,13-07-2022,119999,,
Pandala Haiku: Terrdala,13-07-2022,249999,,
Pandala Rain,13-07-2022,13398,,
Pandkin Seed,13-07-2022,50,400,3000
Panthyrozy's Perfume,13-07-2022,255419,,
Paper Haiku: Chtiger,13-07-2022,98999,,
Paper Haiku: Froog,13-07-2022,9994,,
Paper Haiku: Pig,13-07-2022,48997,,
Paper Haiku: Qilin,13-07-2022,8995,,
Paper Haiku: Swane,13-07-2022,865,,
Paper Petal,13-07-2022,6089,51499,
Paper Tulip,13-07-2022,400,,39946
Parashutackle Glasses,13-07-2022,105,944,12496
Particle Board,13-07-2022,44,250,3998
Passaoh Bulb,13-07-2022,148,2475,15996
Passaoh Coral,13-07-2022,7,235,4966
Passaoh Petal,13-07-2022,368,1385,10876
Pastry Board,13-07-2022,3886,34976,
Pathogerm Skin,13-07-2022,7897,77994,699997
Patrich Eye,13-07-2022,85,1299,19896
Patrich Glands,13-07-2022,2978,25799,220000
Payo,13-07-2022,14992,,
Pazpartu Key Fragment,13-07-2022,539,5491,57999
Peawly Mowning Key Fra ...,13-07-2022,897,9990,
Peeled Potatoes,13-07-2022,179,1595,23999
Penitent,13-07-2022,500000,,
Pepper Measure,13-07-2022,,1145,6665
Perch,13-07-2022,,749,3898
Perfidhius Eye,13-07-2022,389,4884,25884
Persaport Cord,13-07-2022,19,265,4400
Petrified Ecaflee Larva,13-07-2022,6989,64995,599999
Petunia,13-07-2022,56000,,
Phiretom Eye,13-07-2022,16997,178971,1899984
Piece of Badoul's Treasure,13-07-2022,447,4799,55980
Piece of Claw's Jigsaw,13-07-2022,86,1269,49973
Piece of Coco Blop,13-07-2022,148,1443,16997
Piece of Indigo Blop,13-07-2022,188,1928,18995
Piece of Micrab Armour,13-07-2022,9899,98495,999999
Piece of Morello Cherry Blog,13-07-2022,98,1389,18969
Piece of Pippin Blop,13-07-2022,192,3796,19998
Piglet Leather,13-07-2022,37,400,5800
Piglet Leather Briefs,13-07-2022,299,4993,68692
Piglet Milk,13-07-2022,1697,13996,139941
Pignolia Leather,13-07-2022,144,1967,19993
Pignolia Milk,13-07-2022,994,18995,110999
Pigzebub Snout,13-07-2022,37646,332984,3999999
Pike,13-07-2022,,,1393
Pikmi,13-07-2022,780,,
Pingwin Key,13-07-2022,10774,107774,
Pingwinch Beak,13-07-2022,893,11123,119984
Pingwinch Sternum,13-07-2022,2750,30800,
Pingwinkle Beak,13-07-2022,433,4487,42979
Pingwinkle Feather,13-07-2022,120,1128,
Pingwobble Skin,13-07-2022,84,1879,6982
Pingwobble Wing,13-07-2022,1377,7999,197987
Pink Piwi Feather,13-07-2022,23,199,3292
Pipistracker Nose,13-07-2022,3170,28599,288881
Pippin Blop Flower,13-07-2022,193,2399,28867
Pippin Key Fragment,13-07-2022,689,,
Pippin Koalak Hair,13-07-2022,1138,10985,119992
Piralak Skin,13-07-2022,1796,,
Pirate's Cute Shorts,13-07-2022,50,999,28991
Pirolienne Bud,13-07-2022,270,2683,19733
Pistilick Tongue,13-07-2022,7999,99940,
Plain Boar Snout,13-07-2022,224,2399,34999
Plain Boar Tail,13-07-2022,20,300,4954
Plain Pikoko Nut,13-07-2022,2500,25996,399970
Plain Pikoko Wing,13-07-2022,563,7629,77888
Plains Larva Skin,13-07-2022,193,1199,7798
Plains Larva Tooth,13-07-2022,85,970,5495
Plissken Venom,13-07-2022,289,4489,9850
Plisskenskin,13-07-2022,568,4380,29900
Plywood Board,13-07-2022,189,1300,13999
Podgy Tofu Leg,13-07-2022,397,9994,179999
Podploder Hat,13-07-2022,3480,64870,
Pointed Crowfox Feather,13-07-2022,248,3987,55977
Pointed Stone Fragment,13-07-2022,406,4882,41989
Pointed Tooth,13-07-2022,99,2999,29999
Polished Ball,13-07-2022,120,1500,24887
Polished Brain Fragment,13-07-2022,272,2880,24992
Polished Stone Fragment,13-07-2022,485,4785,22989
Polished Stone Heart,13-07-2022,841,8399,99994
Poppy Seed,13-07-2022,174,1689,2998
Potatoes,13-07-2022,798,3397,22989
Potbellion Blood,13-07-2022,1598,9872,170000
Potbellion Molar,13-07-2022,4691,49997,
Potion of Old Age,13-07-2022,993,5994,67999
Pouncer Fur,13-07-2022,15952,159800,
Powa Drhell Horn,13-07-2022,244,2896,12000
Praying Mint,13-07-2022,9998,,
Precious Moustache,13-07-2022,15,239,2300
Precious Zoth Stone,13-07-2022,1998,11518,79891
Prent's Nasal Fluid,13-07-2022,19998,,
Prepubescent Boostache ...,13-07-2022,214,1349,9996
Prepubescent Boostache ...,13-07-2022,491,7999,
Prespic Peak,13-07-2022,97,798,7791
Prespic Tail,13-07-2022,40,476,2799
Primary Forest Substrate,13-07-2022,1400,10000,199993
Primitive Chafer Helmet,13-07-2022,1,1,
Prince Djamal Brecht's Ci ...,13-07-2022,12999,,
Prize Fin,13-07-2022,240,2998,99995
Propulsion Accelerator,13-07-2022,1099977,,
Protective Dreggon Tooth,13-07-2022,1098,14994,144983
Protective Gloves,13-07-2022,56988,,
Protective Mask,13-07-2022,43890,,
Protoz'orror Essence,13-07-2022,366666,,
Protoz'orror Nucleus,13-07-2022,124992,999970,
Proxima,13-07-2022,2295,,
Psychlo Beard,13-07-2022,280,4621,47899
Psychlo Sock,13-07-2022,2888,45399,
Puffed Frosteez,13-07-2022,997999,,
Pukachi Animal Legend,13-07-2022,2699999,,
Purple Fabric,13-07-2022,1095,6999,65996
Purple Mégabwork Leather,13-07-2022,2594,25791,299986
Purple Piwi Feather,13-07-2022,30,419,4496
Purple Warko Beard Hair,13-07-2022,1385,,
Purple Warko Used Nappy,13-07-2022,1687,17999,170000
Putchup Brain,13-07-2022,2992,,
Putchup Leather,13-07-2022,1950,22900,199990
Pyrotechnic Brockhard Ear,13-07-2022,987,9990,
Pyrotechnic Brockhard Eye,13-07-2022,,98653,
Pyrute,13-07-2022,23967,264995,2100000
Pythag Orchid,13-07-2022,9000,,
Quality Rum,13-07-2022,886,8248,89994
Queen Amirukam Diacritic,13-07-2022,17987,142995,
Queen Amirukam Essence,13-07-2022,498999,,
Queen of Thieves Essence,13-07-2022,211000,,
Queen's Belt,13-07-2022,903,6880,66791
Quetsnakiatl Feather,13-07-2022,139,1399,15497
Quetsnakiatl Stone,13-07-2022,188,2696,49981
Quisnoa,13-07-2022,1155,7888,58335
Quixote Swordfish,13-07-2022,1749982,,
Rac Globule,13-07-2022,5487,72050,
Rac Queen Essence,13-07-2022,9900,159999,
Rampant Bearbarian Lear...,13-07-2022,5387,53996,540000
Rampant Bearbarian Wool,13-07-2022,1995,30000,300000
Rancid Carrion,13-07-2022,9000,,
Rancid Meat,13-07-2022,976,2499,11999
Raspberry,13-07-2022,99999,,
Rat Batster's Slingshot,13-07-2022,388,3288,99974
Rat Fang,13-07-2022,244,2900,31999
Rat Lly's Old Book,13-07-2022,249,1899,19998
Rat Phink's Rusty Pipe,13-07-2022,399,4436,49999
Rat Shio Pustule,13-07-2022,890,8460,87499
Rat Skin,13-07-2022,2176,21791,220985
Ratter Pill,13-07-2022,1896,,
Ratter Tail,13-07-2022,1934,33775,
Raul Mops Eye,13-07-2022,149,1240,12968
Raul Mops Skin,13-07-2022,633,5447,59980
Raw Mother of Pearl,13-07-2022,92,2013,24294
Reallinotseen Vertebra,13-07-2022,13895,145947,
Reapalak Fabric,13-07-2022,1238,28999,
Red Boxers,13-07-2022,500,,
Red Carapace,13-07-2022,1293,12994,129975
Red Ghoulobule,13-07-2022,5919,61997,
Red Mage Metaria,13-07-2022,7999,59000,
Red Metaria,13-07-2022,348,5144,39999
Red Piwi Feather,13-07-2022,64,647,7800
Red Scaraleaf Antennae,13-07-2022,80,1024,28996
Red Scaraleaf Carapace,13-07-2022,80,999,14996
Red Scaraleaf Wings,13-07-2022,30,199,2293
Red Spimush Gill,13-07-2022,269,2293,22986
Red Triam Metaria,13-07-2022,1098,,
Redolph Pattern,13-07-2022,68995,684900,
Redolph's Red Nose,13-07-2022,1350,,
Relentliss Tongue,13-07-2022,3956,38994,
Reptilian Shield,13-07-2022,79,1880,10883
Reptilian Sword Fragment,13-07-2022,124,1998,
Rescue Board,13-07-2022,11973,99999,1190000
Resin,13-07-2022,100,919,8840
Resistant Rye,13-07-2022,13995,,
Retspan Pirate Mast,13-07-2022,770,7798,97992
Retspan Pirate Tooth,13-07-2022,980,16987,
Revish Moustache,13-07-2022,2800,43700,
Revish Stapes,13-07-2022,14990,148988,2999999
Rhineetle Horn,13-07-2022,37615,374764,3698999
Rhinoblasty Ear,13-07-2022,993,9998,179964
Rhinoblasty Horn,13-07-2022,8999,88699,
Rhythmic Wand,13-07-2022,22985,298998,
Rib Chops,13-07-2022,4,98,2000
Rib Jaw,13-07-2022,280,3587,39791
Rice,13-07-2022,40,400,2099
Rice Qil,13-07-2022,2997,7480,49500
Riz Cola,13-07-2022,9979,,
Roachelf's Antennae,13-07-2022,900,6999,
Robionicle Claw,13-07-2022,489,4499,50997
Robo Mace's Chain,13-07-2022,695,7174,69990
Robo Mace's Mace,13-07-2022,80,2491,54897
Rocha,13-07-2022,249999,,
Rock Eel,13-07-2022,124997,,
Rock Pandawushu Artefact,13-07-2022,1476,14788,147550
Rockai,13-07-2022,2988,28997,
Rokoram Circumflex Care ...,13-07-2022,13999,152540,
Rokrusher Leggings,13-07-2022,11000,122849,1199999
Ronin Chafer Essence,13-07-2022,2500,,
Ronin Chafer Thighbone,13-07-2022,290,2999,
Rose of the Sands,13-07-2022,150,945,3689
Rotaflor Bark,13-07-2022,796,12989,138897
Rotaflor Carpel,13-07-2022,203,2373,
Rotten Carrion,13-07-2022,2799,,
Rotten Dolid Skin,13-07-2022,15600,99996,
Rotten Egg,13-07-2022,190,1997,15691
Rotten Meat,13-07-2022,119,1250,14891
Royal Blop Essence,13-07-2022,17900,180000,
Royal Blop Leaf,13-07-2022,941,10898,127995
Royal Bluish Jelly,13-07-2022,1258,9997,98509
Royal Coco Blop Flower,13-07-2022,990,,
Royal Gobball Essence,13-07-2022,3099,33498,402220
Royal Gobball Leather,13-07-2022,79,789,17991
Royal Gobball Wool,13-07-2022,1497,31997,
Royal Indigo Blop Flower,13-07-2022,3289,,
Royal Jelly Essence,13-07-2022,7790,74950,
Royal Lemon Jelly,13-07-2022,2790,28785,
Royal Mastogob Essence,13-07-2022,42992,,
Royal Mastogob Tail,13-07-2022,3429,,
Royal Mastogob Wool,13-07-2022,2349,17990,
Royal Mastogob's Greenh ...,13-07-2022,6989,99987,500000
Royal Mint Jelly,13-07-2022,1162,13781,108965
Royal Morello Cherry Blo;...,13-07-2022,2999,,
Royal Pingwin Egg,13-07-2022,1873,38597,
Rovyal Pingwin Essence,13-07-2022,29000,300000,
Royal Pingwin Feather,13-07-2022,1198,9700,299998
Royal Pippin Blop Flower,13-07-2022,1198,,
Royal Rainbow Blop Essence,13-07-2022,9191,89990,800000
Royal Rainbow Blop Flower,13-07-2022,4293,,
Royal Rainbow Blop Lair ...,13-07-2022,4442,70998,
Rovyal Rainbow Blop Leaf,13-07-2022,447,2099,
Royal Sea Bream,13-07-2022,137998,,
Rovyal Strawberry Jelly,13-07-2022,829,8000,68887
Royal Tofu Essence,13-07-2022,24997,175000,
Royal Tofu Feather,13-07-2022,289,2499,
Ruby,13-07-2022,8478,88887,880000
Ruby Larva Skin,13-07-2022,1083,10000,95993
Ruby Larva Tooth,13-07-2022,68,2195,39995
Ruby Stone,13-07-2022,264,5285,57799
Ruby's Reminder,13-07-2022,1845,19000,166666
Rustic Implants Diagram,13-07-2022,48997,,
Rusty Blade,13-07-2022,399,6993,97900
Rusty Hook,13-07-2022,861,7998,89997
Rye,13-07-2022,,495,1846
Sabredon Hair,13-07-2022,382,2098,12264
Sabredon Tooth,13-07-2022,886,4554,49772
Sacred Snowfoux Bones,13-07-2022,44299,,
Sag Mask,13-07-2022,19993,,
Sage,13-07-2022,896,680,2684
Saguaro Whiskers,13-07-2022,736,7800,85000
Sailor Knot,13-07-2022,695,10992,104996
Sak,13-07-2022,199989,,
Sakai Mine Key,13-07-2022,10000,,
Sakai Nugget Fragment,13-07-2022,488,4444,54966
Salikronia,13-07-2022,1178,6597,59998
Salt Measure,13-07-2022,100,997,9996
Samurai Ghost Fabric,13-07-2022,17892,186962,
Samurai Haiku: Autumn,13-07-2022,79932,,
Samurai Haiku: New Year,13-07-2022,555544,,
Samurai Haiku: Spring,13-07-2022,111877,,
Samurai Haiku: Summer,13-07-2022,99494,,
Samurai Haiku: Winter,13-07-2022,599781,,
Sandworm Shell,13-07-2022,1217,16997,
Sandy Castle Key,13-07-2022,10,299,
Sapphira's Hairpin,13-07-2022,145,,29881
Sapphira's Kaliptus Sharr ...,13-07-2022,2000,24500,
Sapphire,13-07-2022,24098,224992,
Sapphire Larva Skin,13-07-2022,293,4486,37881
Sapphire Larva Tooth,13-07-2022,267,2993,19992
Sapphire Prysmaradite,13-07-2022,28996,279997,
Sapphire Stone,13-07-2022,1798,29449,
Sarbak Voodoo Doll,13-07-2022,110,998,
Sauroshell Egg Yolk,13-07-2022,3900,38788,
Sauroshell Eye,13-07-2022,8880,64995,444
Sauroshell Fang,13-07-2022,45893,479998,
Sauroshell Shell,13-07-2022,78000,749999,
Scalding Poison,13-07-2022,19500,239997,
Scale of Endurance Fragr ...,13-07-2022,449709,,
Scampihorse's Recharge: ...,13-07-2022,43971,,
Scaraleaf Dungeon Key,13-07-2022,935,13500,132100
